id,response_date,age,sex_ja,sex_en,prefecture_ja,prefecture_en,occupation_ja,occupation_en,industry_ja,industry_en,household_income_ja,household_income_en,marital_status_ja,marital_status_en,children_ja,children_en,q1_spending_view_ja,q1_spending_view_en,q2_shopping_time_ja,q2_shopping_time_en,q3_consumption_note_ja,q3_consumption_note_en
26,2026-05-25,20,女性,Female,島根県,Shimane,学生（専門学校生）,Student (vocational school),勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",わからない・回答したくない,Prefer not to say,未婚,Single,子ども無し,Without children,特に何もない,Neutral,"朝, 昼","Morning, Daytime",前から買うと決めていたものを買う,Buy things I decided to buy beforehand
27,2026-05-25,63,男性,Male,長崎県,Nagasaki,公務員,Public servant,その他,Other,800～1000万円未満,¥8–10M,既婚,Married,子ども有り,With children,ネガティブな感情,Negative,夜,Night,夕食以降の生活にお金をかけている,Spend money on life after dinner
28,2026-05-25,44,女性,Female,兵庫県,Hyogo,会社員（事務系）,Company employee (clerical),金融業,Finance,わからない・回答したくない,Prefer not to say,未婚,Single,子ども無し,Without children,ポジティブな感情,Positive,朝,Morning,早起きしてるから朝活が多い,Wake up early so often do morning activities
29,2026-05-25,41,男性,Male,大阪府,Osaka,会社員（事務系）,Company employee (clerical),サービス業（その他）,Services (other),800～1000万円未満,¥8–10M,既婚,Married,子ども有り,With children,ポジティブな感情,Positive,昼,Daytime,ファミリー向けのところが多い,Often at family-oriented places
30,2026-05-25,48,男性,Male,埼玉県,Saitama,会社員（技術系）,Company employee (technical),ソフトウェア・情報サービス業,Software / IT services,400～600万円未満,¥4–6M,既婚,Married,子ども有り,With children,ポジティブな感情,Positive,夜,Night,タバコ、お酒。,Cigarettes and alcohol.
31,2026-05-25,50,女性,Female,福岡県,Fukuoka,専業主婦（主夫）,Homemaker,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",600～800万円未満,¥6–8M,既婚,Married,子ども有り,With children,ネガティブな感情,Negative,昼,Daytime,すーぱーなどで、生活必需品を購入する、割引や見切り品は、必ずチェックする。,"Purchase daily necessities at supermarkets, always check discounts and clearance items."
32,2026-05-25,52,男性,Male,愛知県,Aichi,無職,Not employed,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",200～400万円未満,¥2–4M,未婚,Single,子ども無し,Without children,ネガティブな感情,Negative,"昼, 夜","Daytime, Night",食費がほとんどでなるべくお値打ち品を選ぶ。,Mostly food expenses and choose bargain items as much as possible.
33,2026-05-25,65,男性,Male,千葉県,Chiba,自由業,Freelance professional,サービス業（その他）,Services (other),600～800万円未満,¥6–8M,既婚,Married,子ども無し,Without children,ポジティブな感情,Positive,夜,Night,ネット通販,Online shopping
34,2026-05-25,46,女性,Female,福岡県,Fukuoka,パート・アルバイト,Part-time worker,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",わからない・回答したくない,Prefer not to say,既婚,Married,子ども有り,With children,ネガティブな感情,Negative,朝,Morning,家事、子供の世話,"Housework, taking care of children"
35,2026-05-25,27,女性,Female,東京都,Tokyo,会社員（事務系）,Company employee (clerical),運送・輸送業,Transportation / logistics,200～400万円未満,¥2–4M,未婚,Single,子ども無し,Without children,ネガティブな感情,Negative,"昼, 夜","Daytime, Night",買うものを事前に決めて出かけたついでに済ませる,Decide what to buy in advance and do it while I'm out
36,2026-05-25,61,男性,Male,高知県,Kochi,会社員（その他）,Company employee (other),運送・輸送業,Transportation / logistics,600～800万円未満,¥6–8M,既婚,Married,子ども有り,With children,特に何もない,Neutral,昼,Daytime,なるだけプラスチック製を減らす,Try to reduce plastic products as much as possible
37,2026-05-25,35,女性,Female,岐阜県,Gifu,専業主婦（主夫）,Homemaker,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",600～800万円未満,¥6–8M,既婚,Married,子ども有り,With children,ポジティブな感情,Positive,昼,Daytime,1歳児の世話,Taking care of a one-year-old
38,2026-05-25,46,男性,Male,新潟県,Niigata,会社員（技術系）,Company employee (technical),製造業（AV・家電・電気機械器具）,Manufacturing (AV / appliances / electrical),600～800万円未満,¥6–8M,既婚,Married,子ども無し,Without children,ポジティブな感情,Positive,"朝, 昼","Morning, Daytime",特徴は特にないと考える。 必要なものを購入する。,I don't think there are any particular characteristics. Purchase what I need.
39,2026-05-25,37,女性,Female,栃木県,Tochigi,会社員（技術系）,Company employee (technical),農業・林業・漁業・鉱業,Agriculture / forestry / fishery / mining,1500～2000万円未満,¥15–20M,未婚,Single,子ども無し,Without children,ポジティブな感情,Positive,夜,Night,必要最低限のものしか買わない,Only buy the bare minimum
40,2026-05-25,34,女性,Female,神奈川県,Kanagawa,パート・アルバイト,Part-time worker,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",200～400万円未満,¥2–4M,未婚,Single,子ども無し,Without children,ポジティブな感情,Positive,昼,Daytime,平日は仕事で身体を使う、休日は自転車に乗る,"Use my body for work on weekdays, ride a bicycle on weekends"
41,2026-05-25,51,女性,Female,東京都,Tokyo,その他,Other,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",200～400万円未満,¥2–4M,未婚,Single,子ども有り,With children,ポジティブな感情,Positive,夜,Night,特にない,None in particular
42,2026-05-25,35,男性,Male,京都府,Kyoto,会社員（技術系）,Company employee (technical),電気・ガス・熱供給・水道業,Utilities (electricity / gas / water),600～800万円未満,¥6–8M,既婚,Married,子ども有り,With children,ポジティブな感情,Positive,夜,Night,食料品の買い物、日用品の買い物、ネットショッピング,"Grocery shopping, daily necessities shopping, online shopping"
43,2026-05-25,53,女性,Female,神奈川県,Kanagawa,専業主婦（主夫）,Homemaker,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",400～600万円未満,¥4–6M,既婚,Married,子ども有り,With children,ポジティブな感情,Positive,昼,Daytime,スポーツジムに通う。,Go to the gym.
44,2026-05-25,51,女性,Female,埼玉県,Saitama,会社員（事務系）,Company employee (clerical),医療業,Healthcare,200～400万円未満,¥2–4M,未婚,Single,子ども有り,With children,ポジティブな感情,Positive,昼,Daytime,特になし,None in particular
45,2026-05-25,49,女性,Female,広島県,Hiroshima,自由業,Freelance professional,サービス業（その他）,Services (other),200万円未満,Under ¥2M,未婚,Single,子ども有り,With children,ポジティブな感情,Positive,夜,Night,食費に惜しみなく使う,Spend generously on food
46,2026-05-25,45,女性,Female,埼玉県,Saitama,自営業,Self-employed,飲食店,Food service (restaurants),200～400万円未満,¥2–4M,既婚,Married,子ども無し,Without children,ポジティブな感情,Positive,夜,Night,仕事帰りに買い物,Shopping after work
47,2026-05-25,65,男性,Male,神奈川県,Kanagawa,会社員（その他）,Company employee (other),電気・ガス・熱供給・水道業,Utilities (electricity / gas / water),600～800万円未満,¥6–8M,未婚,Single,子ども無し,Without children,特に何もない,Neutral,"朝, 昼","Morning, Daytime",内容と費用のバランスをコントロールする事を意識している。,I'm conscious of controlling the balance between content and cost.
48,2026-05-25,29,女性,Female,大阪府,Osaka,会社員（その他）,Company employee (other),医療業,Healthcare,400～600万円未満,¥4–6M,未婚,Single,子ども無し,Without children,ネガティブな感情,Negative,昼,Daytime,好きなものにお金をつかう,Spend money on what I like
49,2026-05-25,61,男性,Male,東京都,Tokyo,会社員（事務系）,Company employee (clerical),卸売・小売業（石油製品）,Wholesale / retail (petroleum products),1500～2000万円未満,¥15–20M,既婚,Married,子ども有り,With children,ポジティブな感情,Positive,"朝, 昼, 夜","Morning, Daytime, Night",外食費が多い,High eating out expenses
50,2026-05-25,35,男性,Male,愛知県,Aichi,会社員（技術系）,Company employee (technical),ソフトウェア・情報サービス業,Software / IT services,1000～1200万円未満,¥10–12M,未婚,Single,子ども無し,Without children,ポジティブな感情,Positive,"朝, 昼","Morning, Daytime",コスパを重視し、事前に口コミを調べてから購入します。,Focus on cost performance and check reviews before purchasing.
51,2026-05-25,38,男性,Male,神奈川県,Kanagawa,無職,Not employed,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",200～400万円未満,¥2–4M,未婚,Single,子ども無し,Without children,ネガティブな感情,Negative,昼,Daytime,自分の娯楽に主な消費活動をしている。,My main consumption activity is on my own entertainment.
52,2026-05-25,65,男性,Male,神奈川県,Kanagawa,会社員（その他）,Company employee (other),出版・印刷関連産業,Publishing / printing,400～600万円未満,¥4–6M,既婚,Married,子ども無し,Without children,ネガティブな感情,Negative,昼,Daytime,贅沢はしない,Don't live luxuriously
53,2026-05-25,60,女性,Female,神奈川県,Kanagawa,専業主婦（主夫）,Homemaker,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",わからない・回答したくない,Prefer not to say,既婚,Married,子ども有り,With children,ポジティブな感情,Positive,"昼, 夜","Daytime, Night",必要な物を必要な時にしか買わない,Only buy what I need when I need it
54,2026-05-25,60,男性,Male,東京都,Tokyo,その他,Other,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",600～800万円未満,¥6–8M,既婚,Married,子ども無し,Without children,特に何もない,Neutral,昼,Daytime,昼食の買い物です,Lunch shopping
55,2026-05-25,39,男性,Male,福岡県,Fukuoka,会社員（技術系）,Company employee (technical),建設業,Construction,600～800万円未満,¥6–8M,既婚,Married,子ども有り,With children,ネガティブな感情,Negative,夜,Night,タバコ,Cigarettes
56,2026-05-25,63,男性,Male,東京都,Tokyo,会社員（技術系）,Company employee (technical),協同組合・教育関連・公務員,Co-op / education / public sector,1500～2000万円未満,¥15–20M,既婚,Married,子ども有り,With children,ポジティブな感情,Positive,昼,Daytime,食べ物がメイン,Mainly food
57,2026-05-25,60,男性,Male,神奈川県,Kanagawa,会社員（事務系）,Company employee (clerical),製造業（その他）,Manufacturing (other),800～1000万円未満,¥8–10M,既婚,Married,子ども有り,With children,特に何もない,Neutral,昼,Daytime,真に必要なものを購入するよう心掛けている。,I try to purchase only what is truly necessary.
58,2026-05-25,29,女性,Female,東京都,Tokyo,会社員（事務系）,Company employee (clerical),電気・ガス・熱供給・水道業,Utilities (electricity / gas / water),200～400万円未満,¥2–4M,未婚,Single,子ども無し,Without children,ネガティブな感情,Negative,夜,Night,出来るだけ出費を抑える,Try to keep expenses down as much as possible
59,2026-05-25,61,男性,Male,茨城県,Ibaraki,会社員（その他）,Company employee (other),その他,Other,200～400万円未満,¥2–4M,既婚,Married,子ども有り,With children,ネガティブな感情,Negative,昼,Daytime,休日の買い物,Weekend shopping
60,2026-05-25,37,男性,Male,埼玉県,Saitama,公務員,Public servant,協同組合・教育関連・公務員,Co-op / education / public sector,800～1000万円未満,¥8–10M,既婚,Married,子ども有り,With children,特に何もない,Neutral,夜,Night,特にない,None in particular
61,2026-05-25,62,女性,Female,群馬県,Gunma,専業主婦（主夫）,Homemaker,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",わからない・回答したくない,Prefer not to say,既婚,Married,子ども有り,With children,特に何もない,Neutral,昼,Daytime,主婦なので家族のことを優先的に考え買い物、掃除したりする,"As a housewife, I prioritize my family when shopping and cleaning"
62,2026-05-25,60,男性,Male,千葉県,Chiba,経営者・役員,Executive / director,不動産業,Real estate,1500～2000万円未満,¥15–20M,既婚,Married,子ども有り,With children,特に何もない,Neutral,夜,Night,特に時間を決めずに消費する,Consume without particularly setting a time
63,2026-05-25,62,男性,Male,北海道,Hokkaido,会社員（事務系）,Company employee (clerical),電気通信業,Telecommunications,400～600万円未満,¥4–6M,既婚,Married,子ども無し,Without children,ネガティブな感情,Negative,夜,Night,三食食べる,Eat three meals
64,2026-05-25,62,男性,Male,神奈川県,Kanagawa,自営業,Self-employed,金融業,Finance,800～1000万円未満,¥8–10M,既婚,Married,子ども有り,With children,特に何もない,Neutral,昼,Daytime,普段の買い物,Regular shopping
65,2026-05-25,64,男性,Male,東京都,Tokyo,会社員（技術系）,Company employee (technical),製造業（その他）,Manufacturing (other),わからない・回答したくない,Prefer not to say,既婚,Married,子ども有り,With children,ポジティブな感情,Positive,昼,Daytime,コストパフォーマンスを重視する。,Emphasize cost performance.
66,2026-05-25,60,男性,Male,千葉県,Chiba,会社員（事務系）,Company employee (clerical),金融業,Finance,1000～1200万円未満,¥10–12M,既婚,Married,子ども有り,With children,ポジティブな感情,Positive,夜,Night,コスパ重視,Focus on cost performance
67,2026-05-25,32,女性,Female,北海道,Hokkaido,無職,Not employed,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",わからない・回答したくない,Prefer not to say,未婚,Single,子ども無し,Without children,特に何もない,Neutral,昼,Daytime,わからない。,Don't know.
68,2026-05-25,65,男性,Male,愛知県,Aichi,会社員（事務系）,Company employee (clerical),金融業,Finance,400～600万円未満,¥4–6M,既婚,Married,子ども有り,With children,ネガティブな感情,Negative,昼,Daytime,イオンで買う,Buy at AEON
69,2026-05-25,61,女性,Female,東京都,Tokyo,専業主婦（主夫）,Homemaker,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",わからない・回答したくない,Prefer not to say,既婚,Married,子ども有り,With children,特に何もない,Neutral,昼,Daytime,なし,None in particular
70,2026-05-25,31,男性,Male,東京都,Tokyo,会社員（事務系）,Company employee (clerical),サービス業（旅館・その他の宿泊所・娯楽業）,Services (lodging / leisure),200～400万円未満,¥2–4M,未婚,Single,子ども無し,Without children,ネガティブな感情,Negative,夜,Night,交際費に全振り,All in on socializing expenses
71,2026-05-25,60,男性,Male,北海道,Hokkaido,会社員（技術系）,Company employee (technical),その他,Other,600～800万円未満,¥6–8M,既婚,Married,子ども有り,With children,ネガティブな感情,Negative,昼,Daytime,衝動買いをしないようにする,I try not to make impulse purchases
72,2026-05-25,63,女性,Female,新潟県,Niigata,専業主婦（主夫）,Homemaker,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",わからない・回答したくない,Prefer not to say,既婚,Married,子ども有り,With children,特に何もない,Neutral,昼,Daytime,スーパーで食料品を購入することが多い,Often purchase groceries at supermarkets
73,2026-05-25,29,男性,Male,茨城県,Ibaraki,公務員,Public servant,協同組合・教育関連・公務員,Co-op / education / public sector,400～600万円未満,¥4–6M,未婚,Single,子ども無し,Without children,ポジティブな感情,Positive,"昼, 夜","Daytime, Night",気になったものをよく吟味し、購入する傾向がある,Tend to carefully examine things I'm interested in before purchasing
74,2026-05-25,25,男性,Male,滋賀県,Shiga,会社員（その他）,Company employee (other),飲食店,Food service (restaurants),200～400万円未満,¥2–4M,未婚,Single,子ども無し,Without children,特に何もない,Neutral,"昼, 夜","Daytime, Night",推し活,Supporting my favorite idols/creators (oshi-katsu)
75,2026-05-25,65,女性,Female,東京都,Tokyo,パート・アルバイト,Part-time worker,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",400～600万円未満,¥4–6M,既婚,Married,子ども有り,With children,ポジティブな感情,Positive,昼,Daytime,大事に使う,Use carefully
76,2026-05-25,62,女性,Female,京都府,Kyoto,会社員（技術系）,Company employee (technical),ソフトウェア・情報サービス業,Software / IT services,わからない・回答したくない,Prefer not to say,既婚,Married,子ども有り,With children,特に何もない,Neutral,昼,Daytime,食料品が多い,Lots of groceries
77,2026-05-25,62,女性,Female,神奈川県,Kanagawa,パート・アルバイト,Part-time worker,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",わからない・回答したくない,Prefer not to say,既婚,Married,子ども有り,With children,特に何もない,Neutral,昼,Daytime,可能であれば店舗に出向かず価格をしらべてネットを利用するようにしている,"If possible, I research prices without going to stores and use the internet"
78,2026-05-25,24,男性,Male,広島県,Hiroshima,会社員（技術系）,Company employee (technical),製造業（自動車・輸送機器）,Manufacturing (automotive / transport equipment),200～400万円未満,¥2–4M,未婚,Single,子ども無し,Without children,ポジティブな感情,Positive,"朝, 昼","Morning, Daytime",日用品,Daily necessities
79,2026-05-25,60,女性,Female,千葉県,Chiba,専業主婦（主夫）,Homemaker,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",400～600万円未満,¥4–6M,既婚,Married,子ども有り,With children,特に何もない,Neutral,昼,Daytime,マイペース,At my own pace
80,2026-05-25,27,女性,Female,兵庫県,Hyogo,会社員（事務系）,Company employee (clerical),製造業（自動車・輸送機器）,Manufacturing (automotive / transport equipment),800～1000万円未満,¥8–10M,未婚,Single,子ども無し,Without children,ポジティブな感情,Positive,"昼, 夜","Daytime, Night",日用品の消費,Consumption of daily necessities
81,2026-05-25,27,女性,Female,愛知県,Aichi,会社員（事務系）,Company employee (clerical),医療業,Healthcare,1000～1200万円未満,¥10–12M,未婚,Single,子ども無し,Without children,特に何もない,Neutral,"昼, 夜","Daytime, Night",生きていくために必要なこと。,What's necessary to live.
82,2026-05-25,34,男性,Male,福島県,Fukushima,会社員（技術系）,Company employee (technical),製造業（その他）,Manufacturing (other),わからない・回答したくない,Prefer not to say,未婚,Single,子ども無し,Without children,ネガティブな感情,Negative,"昼, 夜","Daytime, Night",日用品、食品の購入,Purchase of daily necessities and food
83,2026-05-25,26,女性,Female,滋賀県,Shiga,会社員（事務系）,Company employee (clerical),製造業（酒類）,Manufacturing (alcoholic beverages),200～400万円未満,¥2–4M,未婚,Single,子ども無し,Without children,特に何もない,Neutral,夜,Night,食料品の購入が中心,Centered on purchasing groceries
84,2026-05-25,64,女性,Female,東京都,Tokyo,専業主婦（主夫）,Homemaker,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",わからない・回答したくない,Prefer not to say,既婚,Married,子ども有り,With children,特に何もない,Neutral,昼,Daytime,家事をまとめて終わらせる,Finish housework all at once
85,2026-05-25,60,女性,Female,岐阜県,Gifu,専業主婦（主夫）,Homemaker,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",200～400万円未満,¥2–4M,既婚,Married,子ども有り,With children,ネガティブな感情,Negative,昼,Daytime,買い物に行ってお金を使う時 考えて使うけど 予算を超えるとショックです。,"When I go shopping and spend money, I think about it, but I'm shocked when I exceed my budget."
86,2026-05-25,64,女性,Female,滋賀県,Shiga,無職,Not employed,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",400～600万円未満,¥4–6M,既婚,Married,子ども有り,With children,ポジティブな感情,Positive,昼,Daytime,食料品、日用品の購入,Purchase of groceries and daily necessities
87,2026-05-25,65,女性,Female,京都府,Kyoto,会社員（事務系）,Company employee (clerical),サービス業（旅館・その他の宿泊所・娯楽業）,Services (lodging / leisure),200～400万円未満,¥2–4M,未婚,Single,子ども有り,With children,ネガティブな感情,Negative,昼,Daytime,日々の買い物,Daily shopping
88,2026-05-25,25,男性,Male,岐阜県,Gifu,会社員（事務系）,Company employee (clerical),卸売・小売業（衣服・繊維製品）,Wholesale / retail (apparel / textiles),800～1000万円未満,¥8–10M,未婚,Single,子ども無し,Without children,ポジティブな感情,Positive,昼,Daytime,彼女とのデート❤️,Dates with my girlfriend
89,2026-05-25,62,女性,Female,岐阜県,Gifu,パート・アルバイト,Part-time worker,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",200～400万円未満,¥2–4M,既婚,Married,子ども有り,With children,特に何もない,Neutral,昼,Daytime,日常の買い物,Daily shopping
90,2026-05-25,62,女性,Female,東京都,Tokyo,会社員（事務系）,Company employee (clerical),不動産業,Real estate,600～800万円未満,¥6–8M,既婚,Married,子ども有り,With children,ネガティブな感情,Negative,昼,Daytime,節約,Saving
91,2026-05-25,61,女性,Female,東京都,Tokyo,パート・アルバイト,Part-time worker,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",800～1000万円未満,¥8–10M,既婚,Married,子ども有り,With children,特に何もない,Neutral,昼,Daytime,洋服を買う。,Buy clothes.
92,2026-05-25,60,女性,Female,愛知県,Aichi,パート・アルバイト,Part-time worker,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",200万円未満,Under ¥2M,既婚,Married,子ども無し,Without children,ポジティブな感情,Positive,昼,Daytime,基本は節約、衣服には流行があるし、家電も当たり外れがあるので安さ優先。ただ、友人とランチに行ったり、ご近所づきあいには、必要以上にケチりたくない。話題のお店に一度は行く、どうしても食べたいものは少々高くても食べる、くらいの贅沢はする,"Basically saving, prioritizing cheapness for clothes due to trends and for appliances due to hit or miss. However, I don't want to be stingy with lunches with friends or neighborhood relations. I allow myself small luxuries like going to trendy restaurants once or eating what I really want even if it's a bit expensive."
